2007	Marist College	Pioneer Football League	Football	NY	74			
2007	Marshall University	Conference USA	Football	WV	63	44		
2007	University of Maryland, College Park	Atlantic Coast Conference	Football	MD	74	64		
2007	University of Massachusetts, Amherst	Mid-American Conference	Football	MA	66	58		
2007	McNeese State University	Southland Conference	Football	LA	66	65		
2007	University of Memphis	American Athletic Conference	Football	TN	76	68		
2007	Miami University (Ohio)	Mid-American Conference	Football	OH	77	72		
2007	University of Miami (Florida)	Atlantic Coast Conference	Football	FL	86	65		
2007	Michigan State University	Big Ten Conference	Football	MI	69	55		
2007	University of Michigan	Big Ten Conference	Football	MI	69	59		
2007	Middle Tennessee State University	Conference USA	Football	TN	87	72		
2007	University of Minnesota, Twin Cities	Big Ten Conference	Football	MN	66	50		
2007	Mississippi State University	Southeastern Conference	Football	MS	66	50		
2007	Mississippi Valley State University	Southwestern Athletic Conf.	Football	MS	33	33		
2007	University of Mississippi	Southeastern Conference	Football	MS	52	35		
2007	University of Missouri, Columbia	Southeastern Conference	Football	MO	72	54		
2007	Monmouth University	Independent	Football	NJ	84	62		
2007	Montana State University-Bozeman	Big Sky Conference	Football	MT	76	55		
2007	University of Montana	Big Sky Conference	Football	MT	73	74		
2007	Morehead State University	Pioneer Football League	Football	KY	52			
2007	Morgan State University	Mid-Eastern Athletic Conf.	Football	MD	51	49		
2007	Murray State University	Ohio Valley Conference	Football	KY	68	48		
2007	University of North Carolina, Chapel Hill	Atlantic Coast Conference	Football	NC	69	56		
2007	University of Nebraska, Lincoln	Big Ten Conference	Football	NE	81	64		
2007	University of Nevada, Las Vegas	Mountain West Conference	Football	NV	54	50		
2007	University of Nevada, Reno	Mountain West Conference	Football	NV	73	67		
2007	University of New Hampshire	Colonial Athletic Association	Football	NH	76	68		
2007	New Mexico State University	Independent	Football	NM	59	40		
2007	University of New Mexico	Mountain West Conference	Football	NM	64	53		
2007	Nicholls State University	Southland Conference	Football	LA	73	45		
2007	Norfolk State University	Mid-Eastern Athletic Conf.	Football	VA	50	48		
2007	North Carolina A&T State University	Mid-Eastern Athletic Conf.	Football	NC	38	40		
2007	North Carolina Central University	Mid-Eastern Athletic Conf.	Football	NC	50	43		
2007	North Carolina State University	Atlantic Coast Conference	Football	NC	65	58		
2007	North Dakota State University	Missouri Valley Football Conference	Football	ND	72	66		
2007	University of North Dakota	Big Sky Conference	Football	ND	74	62		
2007	University of North Texas	Conference USA	Football	TX	68	57		
2007	University of Louisiana Monroe	Sun Belt Conference	Football	LA	59	54		
2007	Northern Arizona University	Big Sky Conference	Football	AZ	75	43		
2007	University of Northern Colorado	Big Sky Conference	Football	CO	66	43		
2007	Northern Illinois University	Mid-American Conference	Football	IL	91	82		
2007	University of Northern Iowa	Missouri Valley Football Conference	Football	IA	72	64		
2007	Northwestern State University	Southland Conference	Football	LA	56	47		
2007	Northwestern University	Big Ten Conference	Football	IL	97	93		
2007	University of Notre Dame	Independent	Football	IN	94	75		
2007	The Ohio State University	Big Ten Conference	Football	OH	78	64		
2007	Ohio University	Mid-American Conference	Football	OH	75	63		
2007	Oklahoma State University	Big 12 Conference	Football	OK	59	47		
2007	University of Oklahoma	Big 12 Conference	Football	OK	59	46		
2007	Old Dominion University	Conference USA	Football	VA	69			
2007	Oregon State University	Pac-12 Conference	Football	OR	70	59		
2007	University of Oregon	Pac-12 Conference	Football	OR	70	54		
2007	Pennsylvania State University	Big Ten Conference	Football	PA	87	75		
2007	University of Pennsylvania	The Ivy League	Football	PA	95			
2007	University of Pittsburgh	Atlantic Coast Conference	Football	PA	67	54		
2007	Portland State University	Big Sky Conference	Football	OR	57	42		
2007	Prairie View A&M University	Southwestern Athletic Conf.	Football	TX	47	38		
2007	Princeton University	The Ivy League	Football	NJ	92			
2007	Purdue University	Big Ten Conference	Football	IN	71	64		
2007	University of Rhode Island	Colonial Athletic Association	Football	RI	54	46		
2007	Rice University	Conference USA	Football	TX	95	87		
2007	University of Richmond	Colonial Athletic Association	Football	VA	87	79		
2007	Robert Morris University	Northeast Conference	Football	PA	64	55		
